2mai 26, 2022 7:15:30 PM LocalSearch.Main main
INFO: Best makespan -161805,43 in Generation 1

mai 26, 2022 7:18:48 PM LocalSearch.Main main
INFO: Best makespan -157422,12 in Generation 2

mai 26, 2022 7:18:51 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 3

mai 26, 2022 7:18:55 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 4

mai 26, 2022 7:18:57 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 5

mai 26, 2022 7:19:01 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 6

mai 26, 2022 7:19:04 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 7

mai 26, 2022 7:19:07 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 8

mai 26, 2022 7:19:11 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 9

mai 26, 2022 7:19:14 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 10

mai 26, 2022 7:19:16 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 11

mai 26, 2022 7:19:20 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 12

mai 26, 2022 7:19:24 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 13

mai 26, 2022 7:19:28 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 14

mai 26, 2022 7:19:34 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 15

mai 26, 2022 7:19:39 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 16

mai 26, 2022 7:19:42 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 17

mai 26, 2022 7:19:46 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 18

mai 26, 2022 7:19:49 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 19

mai 26, 2022 7:19:53 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 20

mai 26, 2022 7:19:56 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 21

mai 26, 2022 7:19:59 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 22

mai 26, 2022 7:20:03 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 23

mai 26, 2022 7:20:06 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 24

mai 26, 2022 7:20:09 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 25

mai 26, 2022 7:20:12 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 26

mai 26, 2022 7:20:15 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 27

mai 26, 2022 7:20:19 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 28

mai 26, 2022 7:20:22 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 29

mai 26, 2022 7:20:26 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 30

mai 26, 2022 7:20:29 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 31

mai 26, 2022 7:20:32 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 32

mai 26, 2022 7:20:37 PM LocalSearch.Main main
INFO: Best makespan -156909,43 in Generation 33

mai 26, 2022 7:20:40 PM LocalSearch.Main main
INFO: Best makespan -156878,37 in Generation 34

mai 26, 2022 7:20:44 PM LocalSearch.Main main
INFO: Best makespan -156878,37 in Generation 35

mai 26, 2022 7:20:47 PM LocalSearch.Main main
INFO: Best makespan -156878,37 in Generation 36

mai 26, 2022 7:20:50 PM LocalSearch.Main main
INFO: Best makespan -156827,34 in Generation 37

mai 26, 2022 7:20:53 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 38

mai 26, 2022 7:20:56 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 39

mai 26, 2022 7:20:59 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 40

mai 26, 2022 7:21:02 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 41

mai 26, 2022 7:21:06 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 42

mai 26, 2022 7:21:09 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 43

mai 26, 2022 7:21:11 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 44

mai 26, 2022 7:21:14 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 45

mai 26, 2022 7:21:17 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 46

mai 26, 2022 7:21:21 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 47

mai 26, 2022 7:21:25 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 48

mai 26, 2022 7:21:30 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 49

mai 26, 2022 7:21:37 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 50

mai 26, 2022 7:21:41 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 51

mai 26, 2022 7:21:46 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 52

mai 26, 2022 7:21:50 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 53

mai 26, 2022 7:21:53 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 54

mai 26, 2022 7:21:56 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 55

mai 26, 2022 7:21:59 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 56

mai 26, 2022 7:22:02 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 57

mai 26, 2022 7:22:05 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 58

mai 26, 2022 7:22:09 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 59

mai 26, 2022 7:22:12 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 60

mai 26, 2022 7:22:17 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 61

mai 26, 2022 7:22:21 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 62

mai 26, 2022 7:22:24 PM LocalSearch.Main main
INFO: Best makespan -156787,25 in Generation 63

mai 26, 2022 7:22:27 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 64

mai 26, 2022 7:22:30 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 65

mai 26, 2022 7:22:33 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 66

mai 26, 2022 7:22:36 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 67

mai 26, 2022 7:22:39 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 68

mai 26, 2022 7:22:43 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 69

mai 26, 2022 7:22:49 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 70

mai 26, 2022 7:22:53 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 71

mai 26, 2022 7:22:56 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 72

mai 26, 2022 7:22:59 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 73

mai 26, 2022 7:23:02 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 74

mai 26, 2022 7:23:04 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 75

mai 26, 2022 7:23:07 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 76

mai 26, 2022 7:23:09 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 77

mai 26, 2022 7:23:12 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 78

mai 26, 2022 7:23:14 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 79

mai 26, 2022 7:23:17 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 80

mai 26, 2022 7:23:19 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 81

mai 26, 2022 7:23:22 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 82

mai 26, 2022 7:23:25 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 83

mai 26, 2022 7:23:27 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 84

mai 26, 2022 7:23:30 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 85

mai 26, 2022 7:23:32 PM LocalSearch.Main main
INFO: Best makespan -156761,96 in Generation 86

mai 26, 2022 7:23:35 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 87

mai 26, 2022 7:23:37 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 88

mai 26, 2022 7:23:40 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 89

mai 26, 2022 7:23:42 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 90

mai 26, 2022 7:23:45 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 91

mai 26, 2022 7:23:48 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 92

mai 26, 2022 7:23:50 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 93

mai 26, 2022 7:23:53 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 94

mai 26, 2022 7:23:55 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 95

mai 26, 2022 7:23:58 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 96

mai 26, 2022 7:24:00 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 97

mai 26, 2022 7:24:03 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 98

mai 26, 2022 7:24:06 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 99

mai 26, 2022 7:24:08 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 100

mai 26, 2022 7:24:11 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 101

mai 26, 2022 7:24:13 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 102

mai 26, 2022 7:24:16 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 103

mai 26, 2022 7:24:19 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 104

mai 26, 2022 7:24:21 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 105

mai 26, 2022 7:24:24 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 106

mai 26, 2022 7:24:27 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 107

mai 26, 2022 7:24:30 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 108

mai 26, 2022 7:24:32 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 109

mai 26, 2022 7:24:35 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 110

mai 26, 2022 7:24:37 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 111

mai 26, 2022 7:24:40 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 112

mai 26, 2022 7:24:42 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 113

mai 26, 2022 7:24:45 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 114

mai 26, 2022 7:24:48 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 115

mai 26, 2022 7:24:50 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 116

mai 26, 2022 7:24:53 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 117

mai 26, 2022 7:24:55 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 118

mai 26, 2022 7:24:58 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 119

mai 26, 2022 7:25:01 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 120

mai 26, 2022 7:25:04 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 121

mai 26, 2022 7:25:06 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 122

mai 26, 2022 7:25:09 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 123

mai 26, 2022 7:25:11 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 124

mai 26, 2022 7:25:14 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 125

mai 26, 2022 7:25:17 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 126

mai 26, 2022 7:25:19 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 127

mai 26, 2022 7:25:22 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 128

mai 26, 2022 7:25:25 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 129

mai 26, 2022 7:25:27 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 130

mai 26, 2022 7:25:30 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 131

mai 26, 2022 7:25:33 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 132

mai 26, 2022 7:25:35 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 133

mai 26, 2022 7:25:38 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 134

mai 26, 2022 7:25:41 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 135

mai 26, 2022 7:25:43 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 136

mai 26, 2022 7:25:46 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 137

mai 26, 2022 7:25:48 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 138

mai 26, 2022 7:25:51 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 139

mai 26, 2022 7:25:53 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 140

mai 26, 2022 7:25:55 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 141

